name;element1;element2;elment3;elment4;elment5;elment6;elment7;elment8;elment9;elment10;sum
Aer_Lingus_Airbus_A330-200_B_plane7;6;10;8;0;0;0;0;0;0;0;24
Aer_Lingus_Airbus_A330-300_A_plane6;0;0;0;0;0;0;0;0;0;0;0
Aer_Lingus_Airbus_A330-300_A_plane8;8;8;8;0;0;0;0;0;0;0;24
Aer_Lingus_Boeing_757-200_plane2;3;8;0;0;0;0;0;0;0;0;11
Aer_Lingus_Boeing_757-200_plane11;3;8;0;0;0;0;0;0;0;0;11
AirAsia_AK_Airbus_A320neo_plane136.svg;3;1;7;0;0;0;0;0;0;0;11
Air_Asia_Airbus_320_plane135.svg;3;2;8;0;0;0;0;0;0;0;13
AirAsia_X_Airbus_A330-300_plane137.svg;8;5;8;0;0;0;0;0;0;0;21
Aircalin_SB_Airbus_A320-200_plane139.svg;3;3;8;0;0;0;0;0;0;0;14
Aircalin_SB_Airbus_A330-200_plane138.svg;9;1;8;0;0;0;0;0;0;0;18
Aircalin_SB_Twin_Otter_DHC6_plane140.svg;1;1;0;0;0;0;0;0;0;0;2
Air_Austral_ATR_72-500_plane30.svg;1;2;1;0;0;0;0;0;0;0;4
Air_Austral_Boeing_737-800_plane29.svg;3;3;8;0;0;0;0;0;0;0;14
Air_Austral_Boeing_777-300ER_plane27.svg;11;10;10;0;0;0;0;0;0;0;31
Air_Austral_Boeing_787-8_plane28.svg;6;5;8;2;0;0;0;0;0;0;21
Air_Canada_AC_Boeing_737_MAX_8_plane38.svg;3;4;8;1;0;0;0;0;0;0;16
Air_Canada_Airbus_A319_plane32.svg;3;2;6;1;1;0;0;0;0;0;13
Air_Canada_Airbus_A320_B_plane34.svg;3;2;8;1;0;0;0;0;0;0;14
Air_Canada_Airbus_A321_C_plane35.svg;4;8;1;0;0;0;0;0;0;0;13
Air_Canada_Airbus_A321_D_plane36.svg;4;2;8;2;1;0;0;0;0;0;17
